GameDuration,teamDiffAssists,teamDiffAvgLevel,teamDiffCSPerMin,teamDiffDeaths,teamDiffDragons,teamDiffEliteMonsters,teamDiffGoldPerMin,teamDiffHeralds,teamDiffKills,teamDiffTotalExperience,teamDiffTotalGold,teamDiffTotalJungleMinionsKilled,teamDiffTotalMinionsKilled,teamDiffTowersDestroyed,teamDiffWardsDestroyed,teamDiffWardsPlaced,EarlyGameLead
25.0,3,0.40000000000000036,3.1999999999999993,7,0,0,362.20000000000005,0,7,2561,3622,1,32,0,0,131,1
26.0,2,0.0,0.0,0,1,0,30.300000000000182,1,0,312,303,8,0,0,2,29,0
23.0,3,0.0,5.099999999999998,1,1,1,129.5,0,1,305,1295,4,51,0,0,4,1
36.0,3,0.20000000000000018,4.5,4,1,2,300.60000000000014,1,4,1880,3006,0,45,0,1,24,1
25.0,3,0.20000000000000018,1.6999999999999993,1,1,0,109.0,1,1,371,1090,4,17,0,3,22,1
19.0,1,0.5999999999999996,1.1000000000000014,1,1,1,32.40000000000009,0,1,1794,324,35,11,0,2,2,0
33.0,4,0.6000000000000005,1.8000000000000007,4,1,1,202.5,0,4,2448,2025,17,18,0,3,5,0
26.0,3,0.40000000000000036,0.1999999999999993,1,1,1,41.59999999999991,0,1,907,416,8,2,0,2,24,0
37.0,3,0.40000000000000036,3.0,0,1,0,6.199999999999818,1,0,1154,62,15,30,0,14,28,1
33.0,9,0.6000000000000005,2.1000000000000014,2,1,1,6.699999999999818,0,2,1341,67,20,21,0,2,20,0
23.0,9,0.7999999999999998,5.199999999999999,7,1,1,516.3,0,7,3968,5163,1,52,0,3,5,0
21.0,12,0.20000000000000018,0.1999999999999993,6,1,1,272.79999999999995,0,6,1957,2728,3,2,0,4,2,1
28.0,6,0.40000000000000036,5.200000000000003,6,1,1,355.9000000000001,0,6,1400,3559,9,52,0,10,27,1
26.0,2,0.20000000000000018,1.5999999999999979,2,1,2,18.399999999999864,1,2,131,184,8,16,0,4,22,1
22.0,2,0.5999999999999996,1.7999999999999972,3,1,1,204.0,0,3,1012,2040,14,18,0,2,4,0
21.0,6,0.20000000000000018,1.3999999999999986,5,1,1,215.10000000000014,0,5,726,2151,5,14,0,0,39,1
28.0,1,0.40000000000000036,6.1,2,0,0,245.19999999999982,0,2,1634,2452,4,61,0,2,18,1
19.0,4,0.40000000000000036,3.1000000000000014,3,1,2,325.5,1,3,2259,3255,12,31,0,1,23,1
25.0,4,0.0,0.3999999999999986,6,1,1,112.80000000000018,0,6,858,1128,30,4,0,1,19,1
25.0,4,0.40000000000000036,0.5,1,0,1,190.89999999999986,1,1,979,1909,19,5,1,0,9,1
19.0,1,0.20000000000000018,3.6999999999999993,4,0,0,339.70000000000005,0,4,1493,3397,6,37,0,0,3,0
36.0,11,0.20000000000000018,1.6000000000000014,4,1,1,356.3000000000002,0,4,1320,3563,20,16,0,1,4,1
30.0,9,0.39999999999999947,1.7000000000000028,2,1,1,36.100000000000136,0,2,1686,361,3,17,0,1,2,0
30.0,1,0.0,2.3000000000000007,1,0,1,51.299999999999955,1,1,992,513,3,23,0,0,21,1
21.0,6,1.0,3.599999999999998,7,0,0,487.20000000000005,0,7,3076,4872,14,36,0,4,0,0
36.0,2,0.7999999999999998,1.8999999999999986,1,0,1,98.5,1,1,2102,985,11,19,0,1,18,0
32.0,6,0.20000000000000018,0.1999999999999993,4,1,0,159.89999999999986,1,4,1870,1599,1,2,0,1,5,0
24.0,10,0.40000000000000036,2.599999999999998,7,1,1,171.9000000000001,0,7,1703,1719,1,26,0,1,0,0
20.0,5,0.40000000000000036,3.5,5,0,1,264.10000000000014,1,5,2207,2641,12,35,0,0,1,1
20.0,9,0.6000000000000005,2.799999999999997,6,1,2,284.60000000000014,1,6,2325,2846,6,28,0,4,4,0
20.0,11,0.8000000000000007,1.2000000000000028,7,1,1,389.0999999999999,0,7,2276,3891,22,12,0,1,15,1
27.0,6,1.0,5.899999999999999,9,1,1,620.2,0,9,5368,6202,20,59,0,1,3,0
30.0,2,0.40000000000000036,3.400000000000002,1,0,0,233.0,0,1,2167,2330,16,34,0,1,0,0
27.0,2,0.40000000000000036,6.900000000000002,2,0,0,308.9000000000001,0,2,1750,3089,4,69,0,0,3,1
28.0,0,0.40000000000000036,1.1000000000000014,1,0,0,54.0,0,1,867,540,11,11,0,1,24,0
33.0,1,0.6000000000000005,1.8000000000000007,1,1,0,50.799999999999955,1,1,1704,508,19,18,0,0,29,1
24.0,6,0.20000000000000018,1.5,3,1,1,62.5,0,3,1035,625,34,15,0,3,128,1
29.0,4,0.40000000000000036,2.3999999999999986,3,1,1,248.10000000000014,0,3,1962,2481,8,24,0,2,23,1
16.0,4,0.6000000000000005,0.6000000000000014,5,1,1,279.60000000000014,0,5,2669,2796,1,6,0,2,4,1
17.0,3,0.40000000000000036,0.8000000000000007,5,1,1,208.9000000000001,0,5,2123,2089,5,8,0,4,3,0
22.0,2,0.0,2.0,1,1,1,60.799999999999955,0,1,703,608,15,20,0,5,27,0
29.0,5,0.40000000000000036,1.2000000000000028,2,0,0,192.29999999999995,0,2,1753,1923,16,12,0,1,2,0
30.0,0,0.20000000000000018,0.29999999999999716,0,1,1,95.09999999999991,0,0,546,951,12,3,0,3,30,1
22.0,2,0.20000000000000018,4.199999999999999,2,1,1,142.79999999999995,0,2,701,1428,19,42,0,1,0,1
30.0,4,0.20000000000000018,3.5,3,1,0,113.10000000000014,1,3,1145,1131,4,35,0,0,4,1
23.0,11,0.20000000000000018,3.5,3,0,1,197.20000000000005,1,3,1010,1972,13,35,0,1,28,1
29.0,6,0.20000000000000018,5.799999999999997,2,1,1,224.20000000000005,0,2,1819,2242,18,58,0,1,22,0
31.0,7,0.40000000000000036,3.5,3,1,0,228.70000000000005,1,3,268,2287,20,35,0,1,0,1
30.0,4,0.6000000000000005,3.8999999999999986,3,0,1,136.70000000000005,1,3,2396,1367,8,39,0,1,5,0
24.0,4,0.6000000000000005,4.5,4,1,2,258.0,1,4,2954,2580,0,45,0,4,5,1
37.0,12,0.39999999999999947,4.599999999999998,4,1,1,78.59999999999991,0,4,562,786,8,46,0,1,81,0
31.0,5,0.0,0.1999999999999993,1,1,2,15.200000000000045,1,1,57,152,36,2,0,1,19,1
30.0,6,0.40000000000000036,1.3000000000000007,4,1,1,280.20000000000005,0,4,281,2802,12,13,0,3,25,1
23.0,1,0.39999999999999947,1.5,1,1,1,161.0,0,1,1393,1610,12,15,0,2,1,1
25.0,1,0.0,2.6999999999999993,4,1,1,154.29999999999995,0,4,21,1543,4,27,0,1,4,0
28.0,3,0.1999999999999993,0.3999999999999986,4,0,0,191.5,0,4,2606,1915,1,4,0,0,1,0
27.0,6,0.0,2.6000000000000014,1,1,1,59.5,0,1,364,595,1,26,0,4,0,1
33.0,1,0.0,1.6999999999999993,1,0,0,119.0,0,1,911,1190,13,17,0,0,0,0
20.0,1,0.0,1.3000000000000007,4,1,0,182.0,1,4,806,1820,12,13,0,4,1,1
18.0,3,0.40000000000000036,3.6999999999999993,3,1,2,263.0,1,3,2244,2630,1,37,0,0,1,1
34.0,0,0.20000000000000018,2.3000000000000007,0,1,1,132.70000000000005,0,0,789,1327,20,23,0,6,3,1
21.0,7,0.40000000000000036,1.4000000000000021,4,0,1,141.70000000000005,1,4,1016,1417,12,14,0,3,2,0
28.0,3,0.0,1.3000000000000007,0,1,1,7.100000000000136,0,0,409,71,12,13,0,2,0,1
23.0,2,0.40000000000000036,0.8000000000000007,1,1,1,1.7000000000000455,0,1,1052,17,9,8,0,0,5,0
29.0,3,0.0,0.0,1,1,2,15.100000000000136,1,1,840,151,8,0,0,0,3,1
24.0,6,0.6000000000000005,4.100000000000001,7,1,0,481.70000000000005,1,7,3220,4817,12,41,0,1,1,1
42.0,6,0.6000000000000005,3.8000000000000007,5,1,1,340.0,0,5,2763,3400,22,38,0,3,1,1
27.0,10,0.0,2.6000000000000014,2,1,1,94.39999999999986,0,2,556,944,8,26,0,2,17,0
36.0,0,0.40000000000000036,2.5,4,1,0,283.9000000000001,1,4,18,2839,5,25,1,1,3,1
29.0,4,0.0,4.600000000000001,3,1,1,81.80000000000018,0,3,165,818,7,46,0,0,48,1
31.0,4,1.3999999999999995,9.299999999999997,7,1,2,628.6000000000001,1,7,4733,6286,9,93,1,1,21,1
15.0,7,0.6000000000000005,2.6000000000000014,7,1,1,379.89999999999986,0,7,3285,3799,4,26,0,2,9,1
15.0,2,0.6000000000000005,2.1999999999999993,6,1,2,442.79999999999995,1,6,3489,4428,6,22,1,2,1,0
39.0,8,0.6000000000000005,2.799999999999997,8,1,1,438.79999999999995,0,8,3527,4388,1,28,0,6,33,1
25.0,6,0.6000000000000005,3.599999999999998,4,1,1,304.5,0,4,1634,3045,7,36,0,1,4,1
26.0,6,0.20000000000000018,0.3000000000000007,2,0,1,149.70000000000005,1,2,778,1497,4,3,0,0,1,1
30.0,2,0.5999999999999996,1.1000000000000014,1,1,1,169.5999999999999,0,1,2153,1696,3,11,0,2,34,1
33.0,4,0.20000000000000018,6.0,1,0,1,73.29999999999995,1,1,1480,733,8,60,0,4,25,0
27.0,1,0.20000000000000018,0.3000000000000007,1,1,1,60.59999999999991,0,1,1487,606,0,3,0,4,1,0
19.0,2,0.0,1.5,2,0,1,242.0,1,2,753,2420,14,15,0,0,19,1
19.0,9,0.0,1.4000000000000021,5,1,1,203.70000000000005,0,5,110,2037,12,14,0,3,8,1
20.0,2,0.1999999999999993,1.4000000000000021,0,1,1,63.100000000000136,0,0,1404,631,5,14,0,0,5,0
18.0,3,0.39999999999999947,1.9000000000000021,0,1,0,157.0,1,0,2103,1570,28,19,0,0,7,1
40.0,2,0.6000000000000005,2.799999999999997,0,1,1,47.09999999999991,0,0,870,471,17,28,0,1,2,1
30.0,1,0.20000000000000018,0.3999999999999986,1,0,0,121.09999999999991,0,1,108,1211,19,4,0,0,2,1
